String,Applicant,Website,Location,Region,Primary Contact,Email,IDN?,A-Label,English Meaning,Script Code,Community?,Geographic?,Application ID
CANON,Canon Inc.,http://canon.jp,JP,AP,Mr. Junichi Murakami,domains@web.canon.co.jp,--,--,--,--,--,--,1-919-80835
CAPETOWN,UniForum SA (NPC) trading as ZA Central Registry,http://www.Registry.net.za,ZA,AF,Mr. Neil Duncan Dundas,neil@dundas.co.za,--,--,--,--,--,Yes,1-1864-98622
CAPITAL,"Delta Mill, LLC",,US,NA,Daniel Schindler,deltamill@donuts.co,--,--,--,--,--,--,1-1375-20218
CAPITALONE,Capital One Financial Corporation,,US,NA,Mr. Joshua Bourne,bourne.co@fairwindspartners.com,--,--,--,--,--,--,1-1267-72259
CAR,Charleston Road Registry Inc.,,US,NA,Sarah Falvey,tas-contact12@google.com,--,--,--,--,--,--,1-1683-84431
CARAVAN,"Caravan International, Inc.",,US,NA,Mr. Brendan Patrick Duffy,brendan@caravan.com,--,--,--,--,--,--,1-1847-21047
CARDS,"Foggy Hollow, LLC",,US,NA,Daniel Schindler,foggyhollow@donuts.co,--,--,--,--,--,--,1-1376-34668
CARE,Goose Cross,,US,NA,Daniel Schindler,goosecross@donuts.co,--,--,--,--,--,--,1-1374-92093
CAREER,dotCareer LLC,,US,NA,Mr. Brian David Johnson,bdj@secondgen.com,--,--,--,--,--,--,1-907-61259
CAREERS,"Wild Corner, LLC",,US,NA,Daniel Schindler,wildcorner@donuts.co,--,--,--,--,--,--,1-1378-74207
CAREMORE,"WellPoint, Inc.",http://www.wellpoint.com,US,NA,Lorna Gradden,lorna.gradden.we@valideus.com,--,--,--,--,--,--,1-1148-58828
CARINSURANCE,Allstate Fire and Casualty Insurance Company,,US,NA,Mr. Philip Lodico,lodico.al@fairwindspartners.com,--,--,--,--,--,--,1-1191-70059
CARS,"Koko Castle, LLC",,US,NA,Daniel Schindler,kokocastle@donuts.co,--,--,--,--,--,--,1-1377-8759
CARS,"Uniregistry, Corp.",http://www.uniregistry.com,KY,EUR,Mr. Frank Taylor Schilling,contact@uniregistry.com,--,--,--,--,--,--,1-845-37810
CARS,"DERCars, LLC",,US,NA,Guy R. Friddell III,gfridelltld@dominionenterprises.com,--,--,--,--,--,--,1-909-45636
CARTIER,Richemont DNS Inc.,http://www.richemont.com,CH,EUR,Ms. Lorna Gradden,lorna.gradden.ri@valideus.com,--,--,--,--,--,--,1-1253-32739
CASA,Top Level Domain Holdings Limited,http://www.tldh.org,VG,EUR,Mr. Antony Van Couvering,Tas.Minds.Machines.6@gmail.com,--,--,--,--,--,--,1-1038-47257
CASA,"Go Daddy East, LLC",http://www.godaddy.com,US,NA,Mr. James Michael Bladel,tas@godaddy.com,--,--,--,--,--,--,1-1109-26787
CASA,"Extra Way, LLC",,US,NA,Daniel Schindler,extraway@donuts.co,--,--,--,--,--,--,1-1379-61100
CASE,Fiat Industrial S.p.A (società per azioni),http://www.fiatindustrial.com,IT,EUR,Gretchen Olive,cscngtlds43@cscinfo.com,--,--,--,--,--,--,1-2050-40761
CASEIH,Fiat Industrial S.p.A (società per azioni),http://www.fiatindustrial.com,IT,EUR,Gretchen Olive,cscngtlds51@cscinfo.com,--,--,--,--,--,--,1-2051-20058
CASH,"Delta Lake, LLC",,US,NA,Daniel Schindler,deltalake@donuts.co,--,--,--,--,--,--,1-1381-76948
CASHBACKBONUS,Discover Financial Services,https://www.discover.com/,US,NA,Mr. Michael Adams,michaeladams1@mayerbrown.com,--,--,--,--,--,--,1-1439-20671
CASINO,dot Casino Limited,,GI,EUR,Mr. Geir Andreas Rasmussen,icanntas20@famousfourmedia.com,--,--,--,--,--,--,1-1203-44541
CASINO,"Binky Sky, LLC",,US,NA,Daniel Schindler,binkysky@donuts.co,--,--,--,--,--,--,1-1382-33633
CASINO,Afilias Limited,,IE,EUR,John Kane,jkane@afilias.info,--,--,--,--,--,--,1-868-87246
CASINO,dotBeauty LLC,,US,NA,Mr. Brian David Johnson,bdj@secondgen.com,--,--,--,--,--,--,1-907-62211
CATALONIA,Generalitat de Catalunya,http://www.gencat.cat,ES,EUR,Mr. Jordi Iparraguirre Vilarrasa,ipa@domini.cat,--,--,--,--,--,Yes,1-1821-72640
CATERING,New Falls. LLC,,US,NA,Daniel Schindler,newfalls@donuts.co,--,--,--,--,--,--,1-1380-59591
CATHOLIC,Pontificium Consilium de Comunicationibus Socialibus (PCCS) (Pontifical Council for Social Communication),http://www.pccsva.org/,VA,EUR,Ms. Eloisa Romani,e.romani@pccs.va,--,--,--,--,Yes,--,1-1311-76497
CBA,COMMONWEALTH BANK OF AUSTRALIA,http://www.commbank.com.au,AU,AP,Catherine Anne Cobby,cate.cobby@cba.com.au,--,--,--,--,--,--,1-1672-4934
CBN,"The Christian Broadcasting Network, Inc.",http://www.cbn.com,US,NA,Mr. John Raymond Doussard,jack.doussard@cbn.org,--,--,--,--,--,--,1-1980-27252
CBRE,"CBRE, Inc.",http://www.cbre.com,US,NA,Mr. Alan Sebastian,alan.sebastian@cbre.com,--,--,--,--,--,--,1-2116-80094
CBS,CBS Domains Inc.,,US,NA,Philip Lodico,lodico.cb@fairwindspartners.com,--,--,--,--,--,--,1-869-11721
CEB,The Corporate Executive Board Company,http://www.executiveboard.com/,US,NA,Gretchen Olive,cebnewgtlds@cscinfo.com,--,--,--,--,--,--,1-1773-64649
CENTER,"Tin Mill, LLC",,US,NA,Daniel Schindler,tinmill@donuts.co,--,--,--,--,--,--,1-1383-13918
CEO,CEOTLD Pty Ltd,,AU,AP,Michael Rodenbaugh,ceotld@rodenbaugh.com,--,--,--,--,--,--,1-1706-31908
CERN,"European Organization for Nuclear Research (""CERN"")",http://cern.ch,CH,EUR,Mr. Darren Noyes,dan.noyes@cern.ch,--,--,--,--,--,--,1-1082-60500
CFA,CFA Institute,https://www.cfainstitute.org,US,NA,Ms. Lisa Furjanic Andress,lisa.andress@cfainstitute.org,--,--,--,--,--,--,1-1877-69334
CFD,IG Group Holdings PLC,http://www.iggroup.com,GB,EUR,Ms. Sharon Harris,sharon1@ngtld.webcentral.com.au,--,--,--,--,--,--,1-2041-62930
CHANEL,Chanel International B.V.,http://www.chanel.com,NL,EUR,Ms. Lynnette Oka,lynnette.oka@chanelusa.com,--,--,--,--,--,--,1-1757-70300
CHANGIAIRPORT,Changi Airport Group (Singapore) Pte. Ltd,http://www.changiairportgroup.com/cag/,SG,AP,Mr. Jonas Gee Cheong Kor,jonas.kor@CHANGIAIRPORT.COM,--,--,--,--,--,--,1-2095-13299
CHANNEL,Charleston Road Registry Inc.,,US,NA,Sarah Falvey,tas-contact4@google.com,--,--,--,--,--,--,1-1139-20196
CHARITY,Spring Registry Limited,,GI,EUR,Mr. Geir Andreas Rasmussen,icanntas59@famousfourmedia.com,--,--,--,--,--,--,1-1241-87032
CHARITY,"Corn Lake, LLC",,US,NA,Daniel Schindler,cornlake@donuts.co,--,--,--,--,--,--,1-1384-49318
CHARTIS,"American International Group, Inc.",http://www.aig.com,US,NA,Joshua Bourne,Bourne.AG@fairwindspartners.com,--,--,--,--,--,--,1-1700-49793
CHASE,JPMorgan Chase & Co.,http://www.jpmorganchase.com,US,NA,Mr. Winston Troy Fuhriman,tfuhriman5@markmonitor.com,--,--,--,--,--,--,1-1190-39893
CHAT,IM TLD Inc.,http://www.radixregistry.com,AE,AP,Mr. Brijesh Harish Joshi,dotchat@radixregistry.com,--,--,--,--,--,--,1-1064-17982
CHAT,dot Chat Limited,,GI,EUR,Mr. Geir Andreas Rasmussen,icanntas55@famousfourmedia.com,--,--,--,--,--,--,1-1237-60534
CHAT,"Top Level Spectrum, Inc.",http://www.toplevelspectrum.com,US,NA,Jay Westerdal,jay@topspectrum.com,--,--,--,--,--,--,1-1279-42610
CHAT,"Sand Fields, LLC",,US,NA,Daniel Schindler,sandfields@donuts.co,--,--,--,--,--,--,1-1385-24288
CHATR,Rogers Communications Partnership,http://www.rogers.com,CA,NA,Ms. Debra Charlery,debra.charlery@rci.rogers.com,--,--,--,--,--,--,1-1036-98768
CHEAP,"Sand Cover, LLC",,US,NA,Daniel Schindler,sandcover@donuts.co,--,--,--,--,--,--,1-1388-22552
CHESAPEAKE,Afterdot LLC,,US,NA,Ms. Kathryn Jane Smith,chk-app@sedari.com,--,--,--,--,--,--,1-908-25012
CHEVROLET,General Motors LLC,http://www.gm.com,US,NA,Gretchen Olive,cscngtlds21@cscinfo.com,--,--,--,--,--,--,1-1978-45010
CHEVY,General Motors LLC,http://www.gm.com,US,NA,Gretchen Olive,cscngtlds20@cscinfo.com,--,--,--,--,--,--,1-1971-57604
CHINTAI,CHINTAI Corporation,http://chintai.jp/,JP,AP,Mr. Jacob Williams,applications@urbanbrain.com,--,--,--,--,--,--,1-901-295
CHK,Afterdot LLC,,US,NA,Ms. Kathryn Jane Smith,chk-app@sedari.com,--,--,--,--,--,--,1-908-49076
CHLOE,Richemont DNS Inc.,http://www.richemont.com,CH,EUR,Ms. Lorna Gradden,lorna.gradden.ri@valideus.com,--,--,--,--,--,--,1-1253-90467
CHRISTMAS,"Uniregistry, Corp.",http://www.uniregistry.com,KY,EUR,Bret Alan Samuel Fausett,bret@internet.pro,--,--,--,--,--,--,1-855-47142
CHROME,Charleston Road Registry Inc.,,US,NA,Sarah Falvey,tas-contact12@google.com,--,--,--,--,--,--,1-1683-38963
CHRYSLER,Chrysler Group LLC.,http://www.chryslergroupllc.com,US,NA,Gretchen Olive,cscngtlds39@cscinfo.com,--,--,--,--,--,--,1-2057-24195
CHURCH,"Holly Fileds, LLC",,US,NA,Daniel Schindler,hollyfields@donuts.co,--,--,--,--,--,--,1-1387-59691
CHURCH,"Life Covenant Church, Inc.",,US,NA,Damon Hudson,damon.hudson@lifechurch.tv,--,--,--,--,--,--,1-886-42389
CIALIS,Eli Lilly and Company,http://www.lilly.com,US,NA,Joshua Bourne,bourne.ly@fairwindspartners.com,--,--,--,--,--,--,1-1018-47836
CIMB,CIMB Group Sdn Bhd,http://www.cimb.com,MY,AP,Ms. Janna Lam,CIMB.registry@ipmirror.com,--,--,--,--,--,--,1-1719-49476
CIPRIANI,Hotel Cipriani Srl,http://www.hotelcipriani.com,IT,EUR,Gretchen Olive,ciprianinew@cscinfo.com,--,--,--,--,--,--,1-1837-53838
CIRCLE,Amazon EU S.à r.l.,http://www.amazon.com/,LU,EUR,Ms. Lorna Jean Gradden,lorna.gradden.am@valideus.com,--,--,--,--,--,--,1-1315-92803
CISCO,"Cisco Technology, Inc.",http://www.cisco.com/,US,NA,Meredith Marie Pavia,paviam@external.cisco.com,--,--,--,--,--,--,1-1788-37128
CITADEL,Citadel Domain LLC,,US,NA,Karen Schweickart,Karen.Schweickart@citadelgroup.com,--,--,--,--,--,--,1-1848-15726
CITI,Citigroup Inc.,http://www.citigroup.com,US,NA,Mr. Brian Jay Winterfeldt,183690002-Citigroup-BJW@steptoe.com,--,--,--,--,--,--,1-2086-70305
CITIC,CITIC Group Corporation,http://www.citic.com,CN,AP,Mr. Jing Zhao,citicgroup@ymail.com,--,--,--,--,--,--,1-914-86033
CITY,DotCity Inc.,http://www.radixregistry.com,AE,AP,Mr. Brijesh Harish Joshi,dotcity@radixregistry.com,--,--,--,--,--,--,1-1066-67099
CITY,"Snow Sky, LLC",,US,NA,Daniel Schindler,snowsky@donuts.co,--,--,--,--,--,--,1-1389-12139
CITY,TLD REGISTRY LIMITED,http://internetregistry.info,IE,EUR,Mr. Michael Lerer,suormen-city@sedari.com,--,--,--,--,--,--,1-1938-29030
CITYEATS,"Lifestyle Domain Holdings, Inc.",,US,NA,Matthew Russotti,mrussotti@wolfe-sbmc.com,--,--,--,--,--,--,1-1326-83809
CLAIMS,"Black Corner, LLC",,US,NA,Daniel Schindler,blackcorner@donuts.co,--,--,--,--,--,--,1-1390-429
CLEANING,"Fox Shadow, LLC",,US,NA,Daniel Schindler,foxshadow@donuts.co,--,--,--,--,--,--,1-1391-32771
CLICK,DotClick Inc.,http://www.radixregistry.com,AE,AP,Mr. Brijesh Harish Joshi,dotclick@radixregistry.com,--,--,--,--,--,--,1-1068-4952
CLICK,"Uniregistry, Corp.",http://www.uniregistry.com,KY,EUR,Mr. Frank Taylor Schilling,contact@uniregistry.com,--,--,--,--,--,--,1-845-44500
CLINIC,"Goose Park, LLC",,US,NA,Daniel Schindler,goosepark@donuts.co,--,--,--,--,--,--,1-1392-58392
CLINIQUE,ELC Online Inc.,http://elcompanies.com,US,NA,Gretchen Olive,cscngtlds17@cscinfo.com,--,--,--,--,--,--,1-1962-86087
CLOTHING,"Steel Lake, LLC",,US,NA,Daniel Schindler,steellake@donuts.co,--,--,--,--,--,--,1-1394-96113
CLOUD,Symantec Corporation,,US,NA,Philip Lodico,lodico.sm@fairwindspartners.com,--,--,--,--,--,--,1-1027-19707
CLOUD,Top Level Domain Holdings Limited,http://www.tldh.org,VG,EUR,Mr. Antony Van Couvering,Tas.Minds.Machines.6@gmail.com,--,--,--,--,--,--,1-1038-9346
CLOUD,Charleston Road Registry Inc.,,US,NA,Sarah Falvey,tas-contact@google.com,--,--,--,--,--,--,1-1099-17190
CLOUD,Amazon EU S.à r.l.,http://www.amazon.com/,LU,EUR,Ms. Lorna Jean Gradden,lorna.gradden.am@valideus.com,--,--,--,--,--,--,1-1315-79670
CLOUD,"Dash Cedar, LLC",,US,NA,Daniel Schindler,dashcedar@donuts.co,--,--,--,--,--,--,1-1393-18458
CLOUD,ARUBA S.p.A.,http://www.aruba.it/,IT,EUR,Mr. Stefano Cecconi,cecconi.stefano@staff.aruba.it,--,--,--,--,--,--,1-1669-75338
CLOUD,CloudNames AS,http://cloudnames.com,NO,EUR,Su-Ching Wu,applications@cloudnames.com,--,--,--,--,--,--,1-1747-41841
CLUB,"Koko Manor, LLC",,US,NA,Daniel Schindler,kokomanor@donuts.co,--,--,--,--,--,--,1-1396-86079
CLUB,".CLUB DOMAINS, LLC",http://dotclub.com,US,NA,Mr. Peter Augustine LaMantia,peter@dotclub.com,--,--,--,--,--,--,1-864-71021
CLUB,Merchant Law Group LLP,,CA,NA,Mr. Brendon James Ralfe,bralfe@merchantlaw.com,--,--,--,--,--,--,1-875-24017
CLUBMED,Club Méditerranée S.A.,http://www.clubmed.com,FR,EUR,Claire Aumonier,claire.aumonier@clubmed.com,--,--,--,--,--,--,1-2079-28620
COACH,"Koko Island, LLC",,US,NA,Daniel Schindler,kokoisland@donuts.co,--,--,--,--,--,--,1-1397-64766
COACH,"Coach, Inc.",http://www.coach.com,US,NA,Mr. Brian Winterfeldt,18860-Coach-BJW@steptoe.com,--,--,--,--,--,--,1-1880-48905
CODES,"Puff Willow, LLC",,US,NA,Daniel Schindler,puffwillow@donuts.co,--,--,--,--,--,--,1-1398-14114
COFFEE,"Trixy Cover, LLC",,US,NA,Daniel Schindler,trixycover@donuts.co,--,--,--,--,--,--,1-1401-49222
COLLEGE,"Binky Edge, LLC",,US,NA,Daniel Schindler,binkyedge@donuts.co,--,--,--,--,--,--,1-1400-95244
COLLEGE,XYZ.COM LLC,,US,NA,Mr. Daniel Moshe Negari,d@xyz.com,--,--,--,--,--,--,1-2137-73069
COLOGNE,NetCologne Gesellschaft für Telekommunikation mbH,http://www.netcologne.de,DE,EUR,Mr. Hartmut Schulz,hschulz@netcologne.de,--,--,--,--,--,Yes,1-860-75931
COMCAST,"Comcast IP Holdings I, LLC",,US,NA,Joshua Bourne,Bourne.CC@fairwindspartners.com,--,--,--,--,--,--,1-1170-7009
COMMBANK,COMMONWEALTH BANK OF AUSTRALIA,http://www.commbank.com.au,AU,AP,Catherine Anne Cobby,cate.cobby@cba.com.au,--,--,--,--,--,--,1-1672-79914
COMMUNITY,"Fox Orchard, LLC",,US,NA,Daniel Schindler,foxorchard@donuts.co,--,--,--,--,--,--,1-1402-32002
COMPANY,"Silver Avenue, LLC",,US,NA,Daniel Schindler,silveravenue@donuts.co,--,--,--,--,--,--,1-1399-64977
COMPARE,iSelect Ltd,http://www.iselect.com.au/,AU,AP,Mr. Warren Myron Slabe,wslabe@iselect.com.au,--,--,--,--,--,--,1-1088-79872
COMPUTER,"Pine Mill, LLC",,US,NA,Daniel Schindler,pinemill@donuts.co,--,--,--,--,--,--,1-1405-67595
COMSEC,"VeriSign, Inc.",http://www.verisigninc.com,US,NA,Mr. Joe Alton Waldron,JoeWaldronVRSN@verisign.com,--,--,--,--,--,--,1-1145-38018
CONDOS,"Pine House, LLC",,US,NA,Daniel Schindler,pinehouse@donuts.co,--,--,--,--,--,--,1-1404-98894
CONNECTORS,"MiTek USA, Inc.",http://www.mii.com,US,NA,Mr. Michael Paul,mpaul@mii.com,--,--,--,--,--,--,1-1085-40392
CONSTRUCTION,"Fox Dynamite, LLC",,US,NA,Daniel Schindler,foxdynamite@donuts.co,--,--,--,--,--,--,1-1403-98045
CONSTRUCTION,"Dot Construction, LLC",,US,NA,George Minardos,george@minardosgroup.com,--,--,--,--,--,--,1-871-10185
CONSULTING,"Pixie Station, LLC",,US,NA,Daniel Schindler,pixiestation@donuts.co,--,--,--,--,--,--,1-1406-80949
CONTACT,"Top Level Spectrum, Inc.",http://www.toplevelspectrum.com,US,NA,Jay Westerdal,jay@topspectrum.com,--,--,--,--,--,--,1-1279-75341
CONTRACTORS,"Magic Woods, LLC",,US,NA,Daniel Schindler,magicwoods@donuts.co,--,--,--,--,--,--,1-1408-96304
COOKING,Top Level Domain Holdings Limited,http://www.tldh.org,VG,EUR,Antony Van Couvering,Tas.Minds.Machines.9@gmail.com,--,--,--,--,--,--,1-1110-51672
COOKINGCHANNEL,"Lifestyle Domain Holdings, Inc.",,US,NA,Matthew Russotti,mrussotti@wolfe-sbmc.com,--,--,--,--,--,--,1-1326-51959
COOL,"Koko Lake, LLC",,US,NA,Daniel Schindler,kokolake@donuts.co,--,--,--,--,--,--,1-1409-69124
CORP,Charleston Road Registry Inc.,,US,NA,Sarah Falvey,tas-contact4@google.com,--,--,--,--,--,--,1-1139-21220
CORP,NU DOT CO LLC,,US,NA,Jose Ignacio Rasco,r@straat.co,--,--,--,--,--,--,1-1296-53960
CORP,"Cotton Fields, LLC",,US,NA,Daniel Schindler,cottonfields@donuts.co,--,--,--,--,--,--,1-1407-41397
CORP,"PROC Registry, LLC",,US,NA,Joshua Bourne,bourne.cp@fairwindspartners.com,--,--,--,--,--,--,1-1693-13474
CORP,DOTCORP LIMITED,,HK,AP,Ms. Fang WANG,fang.wang@corpregistry.net,--,--,--,--,--,--,1-2066-18958
CORP,Dot Registry LLC,,US,NA,Ms. Tess Pattison-Wade,tpw5029@hotmail.com,--,--,--,--,Yes,--,1-880-39342
CORSICA,Collectivité Territoriale de Corse,http://www.corse.fr,FR,EUR,Mr. Thomas Mackenzie,tom.mackenzie1@gmail.com,--,--,--,--,Yes,--,1-937-68428
COUNTRY,Top Level Domain Holdings Limited,http://www.tldh.org,VG,EUR,Mr. Antony Van Couvering,Tas.Minds.Machines.6@gmail.com,--,--,--,--,--,--,1-1038-69660
COUNTRY,"Uniregistry, Corp.",http://www.uniregistry.com,KY,EUR,Mr. Frank Taylor Schilling,contact@uniregistry.com,--,--,--,--,--,--,1-845-1644
COUPON,Top Level Domain Holdings Limited,http://www.tldh.org,VG,EUR,Mr. Antony Van Couvering,Tas.Minds.Machines.6@gmail.com,--,--,--,--,--,--,1-1038-45713
COUPON,Amazon EU S.à r.l.,http://www.amazon.com/,LU,EUR,Ms. Lorna Jean Gradden,lorna.gradden.am@valideus.com,--,--,--,--,--,--,1-1315-85731
COUPONS,"Black Island, LLC",,US,NA,Daniel Schindler,blackisland@donuts.co,--,--,--,--,--,--,1-1413-96740
COUPONS,Coupons.com Incorporated,,US,NA,Joshua Bourne,bourne.cu@fairwindspartners.com,--,--,--,--,--,--,1-1668-71698
COURSES,OPEN UNIVERSITIES AUSTRALIA PTY LTD,http://www.open.edu.au,AU,AP,Jose Miguel Herrera Perea,joseherreraperea@open.edu.au,--,--,--,--,--,--,1-1327-45933
CPA,Top Level Domain Holdings Limited,http://www.tldh.org,VG,EUR,Mr. Antony Van Couvering,Tas.Minds.Machines.6@gmail.com,--,--,--,--,--,--,1-1038-40570
CPA,Charleston Road Registry Inc.,,US,NA,Sarah Falvey,tas-contact3@google.com,--,--,--,--,--,--,1-1138-86970
CPA,Trixy Canyon,,US,NA,Daniel Schindler,trixycanyon@donuts.co,--,--,--,--,--,--,1-1411-59458
CPA,CPA AUSTRALIA LTD,http://www.cpaaustralia.com.au/cps/rde/xchg,AU,AP,Michael Kafrouni,michael.kafrouni@cpaaustralia.com.au,--,--,--,--,Yes,--,1-1744-1971
CPA,American Institute of Certified Public Accountants,http://www.aicpa.org,US,NA,Mr. Christopher Niemi,cniemi1@markmonitor.com,--,--,--,--,--,--,1-1910-48133
CPA,American Institute of Certified Public Accountants,http://www.aicpa.org,US,NA,Mr. Christopher Niemi,cniemi10@markmonitor.com,--,--,--,--,Yes,--,1-1911-56672
CREDIT,"Snow Shadow, LLC",,US,NA,Daniel Schindler,snowshadow@donuts.co,--,--,--,--,--,--,1-1410-93823
CREDITCARD,"Binky Frostbite, LLC",,US,NA,Daniel Schindler,binkyfrostbite@donuts.co,--,--,--,--,--,--,1-1412-63109
CREDITUNION,"CUNA Performance Resources, LLC",,US,NA,Mr. Eric L Richard,erichard@cuna.com,--,--,--,--,--,--,1-1130-18309
CRICKET,Top Level Domain Holdings Limited,http://www.tldh.org,VG,EUR,Mr. Antony Van Couvering,Tas.Minds.Machines.6@gmail.com,--,--,--,--,--,--,1-1038-10584
CRICKET,dot Cricket Limited,,GI,EUR,Mr. Geir Rasmussen,icanntas22@famousfourmedia.com,--,--,--,--,--,--,1-1205-96748
CRICKET,Little Cover. LLC,,US,NA,Daniel Schindler,littlecover@donuts.co,--,--,--,--,--,--,1-1414-81052
CROWN,Crown Equipment Corporation,http://www.crown.com,US,NA,Mr. Mike LeVan,mike.levan@crown.com,--,--,--,--,--,--,1-1277-15200
CRS,Federated Co operatives Limited,http://www.coopconnection.ca,CA,NA,Mr. Joshua MacFadden,jmacfadden@mlt.com,--,--,--,--,--,--,1-2046-93306
CRUISE,Viking River Cruises (Bermuda) Ltd.,http://www.vikingrivercruises.com,US,NA,Gretchen Olive,vikingnewgtlds@cscinfo.com,--,--,--,--,--,--,1-1691-43949
CRUISE,Cruise Lines International Association Inc.,http://www.cruising.org,US,NA,Mr. Tom Hohman,thohmancruising@valideus.com,--,--,--,--,--,--,1-1852-14467
CRUISES,"Spring Way, LLC",,US,NA,Daniel Schindler,springway@donuts.co,--,--,--,--,--,--,1-1415-46513
CSC,"Alliance-One Services, Inc.",http://www.csc.com/alliance-one,US,NA,Ms. Elisa Renee Cooper,ecooper4@markmonitor.com,--,--,--,--,--,--,1-1674-60067
CUISINELLA,SALM S.A.S.,,FR,EUR,Mr. Jacques HAAS,jacques.haas@salm.fr,--,--,--,--,--,--,1-1114-58195
CYMRU,Nominet UK,http://www.nominet.org.uk,GB,EUR,Mr. William Alexander Blowers,tas1-cathie.taylor@nominet.org.uk,--,--,--,--,--,Yes,1-1105-16488
CYOU,"Beijing Gamease Age Digital Technology Co., Ltd.",http://www.changyou.com/,CN,AP,Ms. Qing Peng,cyou-icann@hichina.com,--,--,--,--,--,--,1-1659-50039
DABUR,Dabur India Limited,http://www.dabur.com,IN,AP,Mr. Anil Garg,anilgarg@dabur.com,--,--,--,--,--,--,1-1804-73491
DAD,Charleston Road Registry Inc.,,US,NA,Sarah Falvey,tas-contact11@google.com,--,--,--,--,--,--,1-1682-14122
DANCE,United TLD Holdco Ltd.,http://unitedtld.com,KY,EUR,Mr. Jeffrey Eckhaus,hello@unitedtld.com,--,--,--,--,--,--,1-1255-69937
DATA,"Romeo Birch, LLC",,US,NA,Daniel Schindler,romeobirch@donuts.co,--,--,--,--,--,--,1-1605-75916
DATA,Dish DBS Corporation,http://www.dish.com,US,NA,Gretchen Olive,cscngtlds28@cscinfo.com,--,--,--,--,--,--,1-2009-38008
DATA,Top Level Domain Holdings Limited,http://www.tldh.org,VG,EUR,Mr. Antony Van Couvering,tas.minds.machines@gmail.com,--,--,--,--,--,--,1-927-73627
DATE,dot Date Limited,,GI,EUR,Mr. Geir Andreas Rasmussen,icanntas39@famousfourmedia.com,--,--,--,--,--,--,1-1247-30301
DATING,"Pine Fest, LLC",,US,NA,Daniel Schindler,pinefest@donuts.co,--,--,--,--,--,--,1-1416-56404
DATSUN,"NISSAN MOTOR CO., LTD.",http://www.nissan-global.com/,JP,AP,Mr. Tatsuhiro MOTODA,datsun-dn@thomsonbrandy.jp,--,--,--,--,--,--,1-1023-6629
DAY,Charleston Road Registry Inc.,,US,NA,Sarah Falvey,tas-contact4@google.com,--,--,--,--,--,--,1-1139-19523
DCLK,Charleston Road Registry Inc.,,US,NA,Sarah Falvey,tas-contact2@google.com,--,--,--,--,--,--,1-1141-22713
DDS,Top Level Domain Holdings Limited,http://www.tldh.org,VG,EUR,Mr. Antony Van Couvering,Tas.Minds.Machines.6@gmail.com,--,--,--,--,--,--,1-1038-5963
DDS,Charleston Road Registry Inc.,,US,NA,Sarah Falvey,tas-contact3@google.com,--,--,--,--,--,--,1-1138-74264
DEAL,Amazon EU S.à r.l.,http://www.amazon.com/,LU,EUR,Ms. Lorna Jean Gradden,lorna.gradden.am@valideus.com,--,--,--,--,--,--,1-1315-35975
DEAL,"Uniregistry, Corp.",http://www.uniregistry.com,KY,EUR,Bret Alan Samuel Fausett,bret@internet.pro,--,--,--,--,--,--,1-855-23694
DEALER,"Dealer Dot Com, Inc.",http://www.dealer.com,US,NA,Mr. Karl Nathan Polifka-Rivas,karl.polifka@dealer.com,--,--,--,--,--,--,1-993-62521
DEALS,DotDeals Inc.,http://www.radixregistry.com,AE,AP,Mr. Brijesh Harish Joshi,dotdeals@radixregistry.com,--,--,--,--,--,--,1-1056-93782
DEALS,Top Level Domain Holdings Limited,http://www.tldh.org,VG,EUR,Antony Van Couvering,Tas.Minds.Machines.9@gmail.com,--,--,--,--,--,--,1-1110-25638
DEALS,"Sand Sunset, LLC",,US,NA,Daniel Schindler,sandsunset@donuts.co,--,--,--,--,--,--,1-1419-43874
DEGREE,"Puff House, LLC",,US,NA,Daniel Schindler,puffhouse@donuts.co,--,--,--,--,--,--,1-1418-57248
DELIVERY,dot Delivery Limited,,GI,EUR,Mr. Geir Andreas Rasmussen,icanntas36@famousfourmedia.com,--,--,--,--,--,--,1-1220-89939
DELIVERY,"Steel Station, LLC",,US,NA,Daniel Schindler,steelstation@donuts.co,--,--,--,--,--,--,1-1420-57575
DELL,Dell Inc.,,US,NA,Philip Lodico,lodico.de@fairwindspartners.com,--,--,--,--,--,--,1-1094-11981
DELMONTE,Del Monte International GmbH,,MC,EUR,Phillip Marc Brazlavsky,pbrazlavsky@freshdelmonte.com,--,--,--,--,--,--,1-929-51262
DELOITTE,Deloitte Touche Tohmatsu,http://www.deloitte.com/global,US,NA,Mr. William Barrett,wbarrett@deloitte.com,--,--,--,--,--,--,1-1944-83205
DELTA,"Delta Air Lines, Inc.",http://www.delta.com,US,NA,Mr. Michael David Lerer,delta-app@sedari.com,--,--,--,--,--,--,1-1259-75287
DEMOCRAT,United TLD Holdco Ltd.,http://unitedtld.com,KY,EUR,Mr. Jeffrey Eckhaus,hello@unitedtld.com,--,--,--,--,--,--,1-1255-25868
DENTAL,"Tin Birch, LLC",,US,NA,Daniel Schindler,tinbirch@donuts.co,--,--,--,--,--,--,1-1421-91857
DENTIST,"Outer Lake, LLC",,US,NA,Daniel Schindler,outerlake@donuts.co,--,--,--,--,--,--,1-1422-97537
DESI,"Afilias Domains No. 4 Limited,",http://www.AfiliasDomains4.info,IE,EUR,John Kane,Jkane1@afilias.info,--,--,--,--,--,--,1-1013-78434
